text,label
"I love this movie, it was fantastic!",positive
The food was delicious and service was great!,positive
Absolutely wonderful experience!,positive
"The product quality is amazing, highly recommend.",positive
Great customer service and quick delivery.,positive
I really enjoyed the performance.,positive
The book was engaging and beautifully written.,positive
"Excellent sound quality, worth the price.",positive
The laptop works perfectly and is very fast.,positive
"Had a great time with friends, totally loved it.",positive
The packaging was neat and the delivery was on time.,positive
"Amazing phone, battery lasts all day.",positive
"Very satisfied with my purchase, 10/10.",positive
Friendly staff and clean environment.,positive
The cake was fresh and tasted heavenly.,positive
Awesome storyline and well-developed characters.,positive
"Super comfortable shoes, perfect fit.",positive
Everything exceeded my expectations.,positive
The vacation was relaxing and memorable.,positive
"Loved the restaurant, will visit again soon.",positive
"I love this movie, it was fantastic!",positive
The food was delicious and service was great!,positive
Absolutely wonderful experience!,positive
"The product quality is amazing, highly recommend.",positive
Great customer service and quick delivery.,positive
I really enjoyed the performance.,positive
The book was engaging and beautifully written.,positive
"Excellent sound quality, worth the price.",positive
The laptop works perfectly and is very fast.,positive
"Had a great time with friends, totally loved it.",positive
The packaging was neat and the delivery was on time.,positive
"Amazing phone, battery lasts all day.",positive
"Very satisfied with my purchase, 10/10.",positive
Friendly staff and clean environment.,positive
The cake was fresh and tasted heavenly.,positive
Awesome storyline and well-developed characters.,positive
"Super comfortable shoes, perfect fit.",positive
Everything exceeded my expectations.,positive
The vacation was relaxing and memorable.,positive
"Loved the restaurant, will visit again soon.",positive
"I love this movie, it was fantastic!",positive
The food was delicious and service was great!,positive
Absolutely wonderful experience!,positive
"The product quality is amazing, highly recommend.",positive
Great customer service and quick delivery.,positive
I really enjoyed the performance.,positive
The book was engaging and beautifully written.,positive
"Excellent sound quality, worth the price.",positive
The laptop works perfectly and is very fast.,positive
"Had a great time with friends, totally loved it.",positive
The packaging was neat and the delivery was on time.,positive
"Amazing phone, battery lasts all day.",positive
"Very satisfied with my purchase, 10/10.",positive
Friendly staff and clean environment.,positive
The cake was fresh and tasted heavenly.,positive
Awesome storyline and well-developed characters.,positive
"Super comfortable shoes, perfect fit.",positive
Everything exceeded my expectations.,positive
The vacation was relaxing and memorable.,positive
"Loved the restaurant, will visit again soon.",positive
"Worst film ever, complete waste of time.",negative
"I hated the taste, will never come again.",negative
"Terrible, I walked out halfway.",negative
Not worth the money at all.,negative
"Disappointed, the item broke in two days.",negative
"Very bad experience, not recommended.",negative
The book was boring and too long.,negative
"Poor build quality, feels cheap.",negative
The laptop is slow and crashes often.,negative
"Awful service, will not return.",negative
The packaging was damaged and messy.,negative
Phone heats up quickly and lags.,negative
Completely unsatisfied with my purchase.,negative
The staff was rude and unhelpful.,negative
The cake was stale and tasteless.,negative
Weak plot and flat characters.,negative
"Uncomfortable shoes, hurt my feet.",negative
Did not meet my expectations at all.,negative
The vacation was stressful and overpriced.,negative
"Hated the restaurant, food was terrible.",negative
"Worst film ever, complete waste of time.",negative
"I hated the taste, will never come again.",negative
"Terrible, I walked out halfway.",negative
Not worth the money at all.,negative
"Disappointed, the item broke in two days.",negative
"Very bad experience, not recommended.",negative
The book was boring and too long.,negative
"Poor build quality, feels cheap.",negative
The laptop is slow and crashes often.,negative
"Awful service, will not return.",negative
The packaging was damaged and messy.,negative
Phone heats up quickly and lags.,negative
Completely unsatisfied with my purchase.,negative
The staff was rude and unhelpful.,negative
The cake was stale and tasteless.,negative
Weak plot and flat characters.,negative
"Uncomfortable shoes, hurt my feet.",negative
Did not meet my expectations at all.,negative
The vacation was stressful and overpriced.,negative
"Hated the restaurant, food was terrible.",negative
"Worst film ever, complete waste of time.",negative
"I hated the taste, will never come again.",negative
"Terrible, I walked out halfway.",negative
Not worth the money at all.,negative
"Disappointed, the item broke in two days.",negative
"Very bad experience, not recommended.",negative
The book was boring and too long.,negative
"Poor build quality, feels cheap.",negative
The laptop is slow and crashes often.,negative
"Awful service, will not return.",negative
The packaging was damaged and messy.,negative
Phone heats up quickly and lags.,negative
Completely unsatisfied with my purchase.,negative
The staff was rude and unhelpful.,negative
The cake was stale and tasteless.,negative
Weak plot and flat characters.,negative
"Uncomfortable shoes, hurt my feet.",negative
Did not meet my expectations at all.,negative
The vacation was stressful and overpriced.,negative
"Hated the restaurant, food was terrible.",negative
